path,text
C:\Users\balog\Desktop\Dataset\audio\studio_doctor\Studio_Doctor_Monologue1.wav,"što znači, da bi mi mogli na elektronski način, naručivati pacijente na preglede, primati nalaze liječnika iz bolnica ili radiološke pretrage i nalaze u naše ordinacije direktno."
C:\Users\balog\Desktop\Dataset\audio\studio_doctor\Studio_Doctor_Monologue2.wav,"međutim, ako imate previše pacijenata u jednom danu koji vas traže kao kontakt, normalno je da ne stignete sve odmah odgovoriti."
C:\Users\balog\Desktop\Dataset\audio\studio_doctor\Studio_Doctor_Monologue3.wav,"s obzirom da je i za vrijeme epidemije bilo dogovoreno, odnosno određeno od strane kriznog stožera, da se fizički dolasci u ordinacije smanje."
C:\Users\balog\Desktop\Dataset\audio\examinationRespiratory_docPat\Examination_DoctorNPatient_Dialogue1.wav,"nakon što smo pogledali puls, izmjerili tlak i provjerili disanje, sada ćemo pregledati dišni sustav. molim vas pružite mi ruke."
C:\Users\balog\Desktop\Dataset\audio\examinationRespiratory_docPat\Examination_DoctorNPatient_Dialogue2.wav,boli li vas ovo? ne. a ovo? ne. a ovo ? ne
C:\Users\balog\Desktop\Dataset\audio\examinationRespiratory_docPat\Examination_DoctorNPatient_Dialogue3.wav,"pogledajte gore. u redu, puhnite kroz nos. drugi."
C:\Users\balog\Desktop\Dataset\audio\examinationRespiratory_docPat\Examination_DoctorNPatient_Dialogue4.wav,"otvorite usta, recite a. podignite jezik. u redu"
C:\Users\balog\Desktop\Dataset\audio\examinationRespiratory_docPat\Examination_DoctorNPatient_Dialogue5.wav,pogledat ćemo limfne čvorove na vratu. pogledat ćemo štitnjaču sa stražnje strane. progutajte malo. u redu.
C:\Users\balog\Desktop\Dataset\audio\examinationRespiratory_docPat\Examination_DoctorNPatient_Dialogue6.wav,sada ćemo malo pregledati prsni koš. malo se okrenite. u redu. boli li vas ovo? ne. a ovo? ne.
C:\Users\balog\Desktop\Dataset\audio\examinationRespiratory_docPat\Examination_DoctorNPatient_Dialogue7.wav,duboko udahnite. izdahnite. u redu
C:\Users\balog\Desktop\Dataset\audio\examinationRespiratory_docPat\Examination_DoctorNPatient_Dialogue8.wav,molim vas zagrlite ruke ispred sebe. molim vas dišite duboko na usta.
C:\Users\balog\Desktop\Dataset\audio\examinationRespiratory_docPat\Examination_DoctorNPatient_Dialogue9.wav,"okrenite se prema naprijed. dišite duboko opet, molim vas."
C:\Users\balog\Desktop\Dataset\audio\examinationCardio_docPat\Examination2_DoctorNPatient_Dialogue1.wav,mogu li vas zamoliti da vam pregledam ruke. molim vas ispružite ih. okrenite ih molim vas.
C:\Users\balog\Desktop\Dataset\audio\examinationCardio_docPat\Examination2_DoctorNPatient_Dialogue2.wav,"s obzirom da smo već izmjerili puls i tlak, sada bih prešla na pregled glave. mogu li vas zamoliti da pregledate prema gore. isplazite molim vas jezik. sada ga podignite prema gore. dobro. sada ćemo provjeriti puls na vratu."
C:\Users\balog\Desktop\Dataset\audio\examinationCardio_docPat\Examination2_DoctorNPatient_Dialogue3.wav,poslušat ćemo puls na vratu. mogu li vas zamoliti da prestanete disati. opet prestanite disati. sve je u redu.
